                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.449,                 2.0859,                 1.4404,                0.58766,                0.48963,                0.56879,                0.40765,                 1.1745,                  1.277,                 1.1751,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                 1.4476,                  2.005,                 1.4482,                0.63023,                 0.4935,                0.58045,                0.41445,                 1.1746,                 1.2399,                 1.1713,             1.7497e-05,             1.7497e-05,             1.7497e-05
                      3,                 1.3922,                 1.9637,                 1.4133,                0.64701,                0.50949,                0.58795,                0.42059,                 1.1827,                 1.2205,                 1.1725,             2.6286e-05,             2.6286e-05,             2.6286e-05
                      4,                 1.5389,                 2.0996,                 1.4976,                0.65579,                0.51985,                0.60405,                0.42818,                 1.2074,                 1.2119,                 1.1813,             3.4699e-05,             3.4699e-05,             3.4699e-05
                      5,                 1.3996,                 1.8847,                 1.4048,                0.63529,                0.55154,                0.61655,                0.43547,                 1.2285,                 1.2117,                 1.1871,             4.2734e-05,             4.2734e-05,             4.2734e-05
                      6,                 1.4556,                 1.9301,                 1.4046,                0.62452,                0.56839,                0.63099,                0.43143,                 1.2328,                 1.2087,                 1.1879,             5.0393e-05,             5.0393e-05,             5.0393e-05
                      7,                 1.3591,                 1.7964,                 1.3647,                0.61865,                0.57583,                0.63835,                0.43928,                 1.2169,                 1.2022,                 1.1833,             5.7675e-05,             5.7675e-05,             5.7675e-05
                      8,                 1.3363,                 1.7645,                 1.3493,                0.64061,                0.61405,                0.65729,                0.45157,                 1.1973,                 1.1999,                 1.1778,             6.4579e-05,             6.4579e-05,             6.4579e-05
                      9,                 1.3595,                 1.7221,                 1.3434,                0.63634,                0.60936,                0.65962,                0.46272,                 1.1751,                 1.1922,                 1.1667,             7.1107e-05,             7.1107e-05,             7.1107e-05
                     10,                 1.3545,                  1.774,                 1.3829,                 0.6558,                0.60039,                 0.6585,                0.46563,                 1.1622,                 1.1824,                 1.1614,             7.7257e-05,             7.7257e-05,             7.7257e-05
                     11,                 1.3774,                 1.7017,                  1.332,                0.67629,                0.62118,                0.66925,                0.46783,                 1.1559,                 1.1582,                 1.1568,             8.3031e-05,             8.3031e-05,             8.3031e-05
                     12,                 1.3491,                 1.7061,                 1.3604,                0.69493,                0.59202,                0.67524,                0.47529,                 1.1573,                 1.1425,                 1.1556,             8.8428e-05,             8.8428e-05,             8.8428e-05
                     13,                 1.3724,                 1.7107,                 1.3695,                0.71567,                0.59881,                0.68096,                0.47824,                 1.1638,                 1.1296,                 1.1549,             9.0726e-05,             9.0726e-05,             9.0726e-05
                     14,                 1.3206,                 1.6616,                 1.3296,                0.71827,                0.61553,                0.68601,                0.48399,                 1.1719,                  1.112,                 1.1552,             9.0726e-05,             9.0726e-05,             9.0726e-05
                     15,                  1.258,                 1.5622,                 1.2936,                0.71401,                0.62048,                0.69122,                 0.4903,                 1.1685,                 1.0932,                 1.1519,             8.8369e-05,             8.8369e-05,             8.8369e-05
                     16,                 1.3436,                 1.5751,                 1.2937,                 0.6939,                 0.6257,                0.69819,                0.50029,                 1.1608,                 1.0747,                 1.1483,             8.6013e-05,             8.6013e-05,             8.6013e-05
                     17,                 1.2958,                 1.5276,                 1.3043,                0.68205,                0.64312,                 0.7073,                0.50491,                 1.1525,                 1.0609,                 1.1467,             8.3657e-05,             8.3657e-05,             8.3657e-05
