                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2299,                 1.5635,                 1.2981,                0.58752,                0.49859,                 0.5729,                0.41312,                 1.1694,                 1.2722,                 1.1721,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                 1.2704,                  1.474,                 1.3067,                0.62443,                 0.5138,                 0.5836,                0.42305,                 1.1567,                 1.2204,                 1.1631,             1.7497e-05,             1.7497e-05,             1.7497e-05
                      3,                   1.22,                 1.5081,                   1.28,                0.70051,                0.50719,                0.59748,                0.43082,                 1.1485,                 1.1909,                 1.1587,             2.6286e-05,             2.6286e-05,             2.6286e-05
                      4,                 1.2998,                 1.4507,                 1.3137,                0.71812,                0.52126,                0.61811,                0.44474,                  1.139,                 1.1567,                 1.1519,             3.4699e-05,             3.4699e-05,             3.4699e-05
                      5,                 1.1946,                 1.4007,                 1.2602,                0.70884,                0.54527,                0.65416,                0.46067,                 1.1294,                 1.1315,                 1.1447,             4.2734e-05,             4.2734e-05,             4.2734e-05
                      6,                 1.2242,                 1.4027,                 1.2489,                0.69883,                 0.5693,                0.66696,                0.47695,                 1.1179,                 1.1055,                  1.137,             5.0393e-05,             5.0393e-05,             5.0393e-05
                      7,                 1.1753,                 1.3068,                 1.2376,                0.69611,                0.60849,                  0.681,                0.49026,                 1.1087,                 1.0887,                 1.1315,             5.7675e-05,             5.7675e-05,             5.7675e-05
                      8,                 1.1476,                 1.2694,                 1.2061,                0.72083,                0.61979,                0.68879,                0.50096,                 1.1039,                 1.0684,                 1.1285,             6.4579e-05,             6.4579e-05,             6.4579e-05
                      9,                 1.2047,                  1.315,                 1.2299,                0.70538,                0.64537,                0.69831,                 0.5119,                 1.1043,                 1.0539,                  1.127,             7.1107e-05,             7.1107e-05,             7.1107e-05
                     10,                  1.136,                 1.2702,                 1.2356,                0.71711,                0.65532,                0.70396,                0.51964,                 1.0991,                  1.041,                 1.1255,             7.7257e-05,             7.7257e-05,             7.7257e-05
                     11,                 1.1837,                 1.2627,                 1.2037,                0.76765,                0.63542,                0.70848,                0.52083,                 1.0868,                  1.017,                 1.1231,             8.3031e-05,             8.3031e-05,             8.3031e-05
                     12,                 1.1384,                 1.2372,                 1.2187,                0.74384,                0.64971,                0.71723,                0.52954,                 1.0796,                 1.0063,                 1.1203,             8.8428e-05,             8.8428e-05,             8.8428e-05
                     13,                 1.1464,                 1.2338,                  1.221,                0.79444,                0.64425,                0.72258,                0.53441,                 1.0737,                0.99214,                 1.1173,             9.0726e-05,             9.0726e-05,             9.0726e-05
                     14,                  1.146,                 1.2116,                 1.2154,                0.80265,                0.64456,                0.73133,                0.54006,                 1.0641,                  0.977,                 1.1105,             9.0726e-05,             9.0726e-05,             9.0726e-05
                     15,                 1.1171,                 1.1904,                 1.2006,                0.80613,                0.64341,                 0.7369,                0.54989,                 1.0551,                0.95832,                 1.1061,             8.8369e-05,             8.8369e-05,             8.8369e-05
                     16,                 1.1772,                 1.1746,                 1.1922,                0.78669,                 0.6605,                0.74345,                0.55572,                  1.047,                0.94167,                 1.1016,             8.6013e-05,             8.6013e-05,             8.6013e-05
                     17,                 1.1375,                 1.1533,                 1.1961,                0.77162,                0.66389,                0.75448,                 0.5633,                 1.0414,                0.92774,                 1.0977,             8.3657e-05,             8.3657e-05,             8.3657e-05
                     18,                 1.1056,                 1.1371,                 1.1894,                0.75758,                0.66817,                0.75482,                0.56634,                 1.0404,                 0.9154,                 1.0948,             8.1301e-05,             8.1301e-05,             8.1301e-05
                     19,                 1.0619,                 1.0913,                 1.1443,                0.72174,                0.69801,                0.75476,                0.56834,                 1.0392,                0.90117,                 1.0931,             7.8945e-05,             7.8945e-05,             7.8945e-05
                     20,                 1.0909,                 1.1384,                  1.186,                0.74072,                 0.7065,                0.76175,                0.57202,                 1.0313,                0.88906,                 1.0882,             7.6588e-05,             7.6588e-05,             7.6588e-05
                     21,                 1.0732,                 1.0955,                 1.1665,                0.75091,                 0.7042,                0.76373,                0.57477,                 1.0174,                0.87825,                 1.0803,             7.4232e-05,             7.4232e-05,             7.4232e-05
                     22,                 1.0996,                  1.094,                 1.1664,                 0.7407,                0.70718,                 0.7648,                0.57715,                 1.0069,                0.87136,                 1.0744,             7.1876e-05,             7.1876e-05,             7.1876e-05
                     23,                  1.063,                 1.0229,                   1.13,                0.74011,                0.69134,                0.76266,                0.57746,                 0.9998,                0.86331,                 1.0706,              6.952e-05,              6.952e-05,              6.952e-05
                     24,                 1.0739,                 1.0542,                 1.1796,                 0.7376,                0.71371,                0.77088,                0.58582,                0.99511,                0.85813,                 1.0687,             6.7164e-05,             6.7164e-05,             6.7164e-05
                     25,                 1.0711,                 1.0358,                 1.1517,                0.73542,                0.72274,                0.77304,                0.58703,                0.98989,                0.85412,                 1.0656,             6.4807e-05,             6.4807e-05,             6.4807e-05
                     26,                 1.0484,                 1.0914,                 1.1658,                0.73708,                0.72052,                0.77624,                 0.5917,                0.98366,                0.84736,                 1.0614,             6.2451e-05,             6.2451e-05,             6.2451e-05
                     27,                 1.0622,                 1.0325,                 1.1656,                0.73351,                0.73153,                0.78013,                 0.5933,                0.97738,                0.84046,                 1.0572,             6.0095e-05,             6.0095e-05,             6.0095e-05
                     28,                  1.106,                 1.1374,                 1.2015,                0.73071,                0.73937,                0.78553,                0.59686,                0.97112,                0.82943,                 1.0529,             5.7739e-05,             5.7739e-05,             5.7739e-05
                     29,                 1.0746,                 1.0392,                 1.1581,                0.71957,                0.74493,                 0.7844,                0.59876,                0.96223,                0.81947,                 1.0482,             5.5383e-05,             5.5383e-05,             5.5383e-05
